zinc_id,smiles
ZINC001772657768,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(N)nc1
ZINC000222127477,COc1cncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)c1
ZINC000053229843,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]cnc5c4)c3)cc2C(F)(F)F)CC1
ZINC000222165121,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(N)nn1
ZINC000140118811,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1NC(=O)c1cnc2[nH]ccc2c1
ZINC000140769678,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccnn2c1
ZINC001772609616,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccn2cnnc2c1
ZINC000053295473,CCN1CCN(Cc2ccc(NC(=O)c3cccc(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1
ZINC000068244727,Cc1ncc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000142950803,Cc1ncc(NC(=O)c2ccc(CN3CCN(C)CC3)c(Cl)c2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000028571238,Cc1ccc(NC(=O)c2ccc(CN3CC(N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1
ZINC000149048612,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1nnc2ccccn12
ZINC000097957590,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#CC1=CNC2=CC=CNN12
ZINC000053229152,Cc1ccc(C(=O)Nc2ccc(CN3CCN[C@@H](C)C3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
ZINC000053229149,Cc1ccc(C(=O)Nc2ccc(CN3CCN[C@H](C)C3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
ZINC000220109908,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2ccccc12
ZINC000053276677,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4coc5ccccc45)c3)cc2C(F)(F)F)CC1
ZINC000222187722,CN1CCN(Cc2ccc(NC(=O)c3ccc(F)c(C#Cc4cncc5ccccc45)c3)cc2C(F)(F)F)CC1
ZINC000222187797,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(C#Cc4cncc5ccccc45)c3)cc2C(F)(F)F)CC1
ZINC000222175813,CN1CCN(Cc2ccc(NC(=O)c3cccc(C#Cc4cncc5ccccc45)c3)cc2C(F)(F)F)CC1
ZINC000059749972,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cnccn5)n4)c3)cc(C(F)(F)F)c2)cn1
ZINC000219191154,CCc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1
ZINC000072132310,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5ccc[n+]([O-])c5)n4)c3)cc(C(F)(F)F)c2)cn1
ZINC001775964594,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4ncc(Cl)c(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1
ZINC001775964653,Cc1ccc(C(=O)Nc2cc(-n3ccnc3)cc(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1
